date,id,predicted score,actual score
02 06 2020 06:04:27,whale-8fcd14c28f625a75728f3020e02f7e52990eda9ceb037cbfaaaec6bf183c2,-1,-1.0
30 05 2020 16:06:26,mantis-8bd3f3fe2dd8cf4e82c33638707fff9b53519402d53e9bdca5172cb09347ee,2,-1.0
02 06 2020 19:55:49,red-deer-1b3efe47382fd39012a6cb4e23c6e4388bea9447e2422c318fe216fefed072e6,-1,-0.0
01 06 2020 15:09:49,giant-panda-707ccd3fa83e6f52723c9b769cf51983e1384daea9137c51e6da97bd8ef2,5,1.0
02 06 2020 04:22:51,butterfly-187b35592cbcc0d79cefab253133466396ffdc6799e4de1b3a6aaf8bf11c131f,-4,-2.0
02 06 2020 20:03:26,red-deer-1b3efe47382fd39012a6cb4e23c6e4388bea9447e2422c318fe216fefed072e6,-1,-0.0
01 06 2020 15:30:08,chinchilla-81c099111ae9e529d643bba5bc9439423b56ea6299074a81f35dff325853e,-5,-0.0
02 06 2020 04:24:15,butterfly-187b35592cbcc0d79cefab253133466396ffdc6799e4de1b3a6aaf8bf11c131f,-4,-2.0
01 06 2020 10:09:17,locust-c2aff8cd0c48d7ad35c9d4f4d956d77fed4851dce3ef2d2a3ca114ffb8d71,4,0.0
31 05 2020 12:33:39,eagle-848c27680ceeb864b34c0952b60187b5c84bcb392efefdcbdd8225c7ca9ccf,3,-2.0
01 06 2020 15:14:20,water-buffalo-2b122654f909374d39aae55ad5395fbd574833adc97ad2b3696dd596c7cc8b,-3,-3.0
31 05 2020 12:33:12,duck-628e187f0c61276f7881e57841bfdb2255694aef97393fe4fbbf445b6f6a42,2,0.0
02 06 2020 00:45:25,dragonfly-238537241686a3c9a4961ff241ae03a76e19471e62bff26152c68b0feec2631,0,-1.0
31 05 2020 12:53:53,kingfisher-671fcb23557e5316f87df55ce99e19e3a4a7b49fe3bb4e4bce58e08ef47,-3,0.0
31 05 2020 12:51:19,kingfisher-671fcb23557e5316f87df55ce99e19e3a4a7b49fe3bb4e4bce58e08ef47,-3,0.0
01 06 2020 14:53:24,horse-59545e8ab4401db1429e77cc3260f9a16488d955d86b7ed93b83506047b68c,-4,-0.0
01 06 2020 14:03:53,yak-a11d02e9ce33ecdb7ac0d811d81d6f8a45e0617889bd81e5cdb1c852cdf70,-1,-0.0
02 06 2020 04:21:39,butterfly-187b35592cbcc0d79cefab253133466396ffdc6799e4de1b3a6aaf8bf11c131f,-4,-2.0
31 05 2020 12:01:13,fox-b9246c4bdd6d43fcbcdb472da19b6d5f6e430a459b1beb4043464d2f5213,3,-1.0
31 05 2020 12:01:09,eagle-848c27680ceeb864b34c0952b60187b5c84bcb392efefdcbdd8225c7ca9ccf,3,-2.0
01 06 2020 06:41:58,rail-a295f7e3adb8944c89fd4895a910f03df6ccbfbb33f34feec9d2db4313948d,0,-0.0
01 06 2020 15:12:40,giant-panda-707ccd3fa83e6f52723c9b769cf51983e1384daea9137c51e6da97bd8ef2,5,1.0
01 06 2020 09:39:09,goose-94ae433ea732db7a33abf69379abbe526bbb964f842478bf5beec670861889,-1,-1.0
01 06 2020 12:09:13,polar-bear-3735bd7fdd4673a79978e5bffed049d93de225cf807d8abb31539cbcc8247b38,2,0.0
31 05 2020 12:34:43,crocodile-a9b494d54339f11be323d93cc5e1521bfe25af7ca2958ebcc1c2b2c546eafca1,-5,0.0
01 06 2020 09:39:30,goose-94ae433ea732db7a33abf69379abbe526bbb964f842478bf5beec670861889,-1,-1.0
01 06 2020 21:38:38,raccoon-fc3e52a46e86b4559f44acd46e2b90fd51f8a3db3d38a3b0b39aa6d8277fcc,0,0.0
15 06 2020 06:47:01,butterfly-187b35592cbcc0d79cefab253133466396ffdc6799e4de1b3a6aaf8bf11c131f,-4,-1.0
01 06 2020 08:11:04,mantis-8bd3f3fe2dd8cf4e82c33638707fff9b53519402d53e9bdca5172cb09347ee,2,-1.0
01 06 2020 15:07:47,giant-panda-707ccd3fa83e6f52723c9b769cf51983e1384daea9137c51e6da97bd8ef2,5,1.0
01 06 2020 16:33:10,kouprey-13af2ff8be201bd0f313b957f3f7a6aa1f5fe11064f6a0554cf9634eb0d694,5,1.0
02 06 2020 02:18:02,cassowary-bc3e787d8cdc87717b5293d12e1910a8a748fbb59374587dc6a4191d5aa332b2,-3,0.0
31 05 2020 12:54:23,kingfisher-671fcb23557e5316f87df55ce99e19e3a4a7b49fe3bb4e4bce58e08ef47,-3,0.0
02 06 2020 13:59:32,cod-57adcbcfdc17d5d29d66814279e743815f8316ff4ff7127a6bc923056d08b,-5,-1.0
01 06 2020 15:10:58,giant-panda-707ccd3fa83e6f52723c9b769cf51983e1384daea9137c51e6da97bd8ef2,5,1.0
01 06 2020 13:17:56,crow-e4dbc0a77f86287e5f8177eeea927e97e95181379effdbf76f4d70a2dd52ac,-4,-1.0
31 05 2020 12:00:26,fox-b9246c4bdd6d43fcbcdb472da19b6d5f6e430a459b1beb4043464d2f5213,3,-1.0
01 06 2020 21:33:46,raccoon-fc3e52a46e86b4559f44acd46e2b90fd51f8a3db3d38a3b0b39aa6d8277fcc,0,0.0
03 06 2020 02:19:43,bee-e1257c3b608193c9577e28fe834b8a2014e34bbea61ff157c475877d86a7bc17,-1,-3.0
01 06 2020 15:03:20,horse-59545e8ab4401db1429e77cc3260f9a16488d955d86b7ed93b83506047b68c,-4,-1.0
01 06 2020 18:46:18,beaver-8f7ebf0c82d37745a859906e2827a1b030141b13c43e6d45ff07defbfa34,-5,-1.0
31 05 2020 12:33:45,duck-628e187f0c61276f7881e57841bfdb2255694aef97393fe4fbbf445b6f6a42,2,0.0
01 06 2020 14:56:47,bear-b4f6d61bc13b8e35f3aa9ad583c84796d775aeb9fe2a415ca779be77853d6,2,-1.0
02 06 2020 19:52:58,red-deer-1b3efe47382fd39012a6cb4e23c6e4388bea9447e2422c318fe216fefed072e6,-1,-0.0
01 06 2020 23:02:40,pony-56ca7b93f064db82f179b513ea6e44c63c3fcebed74252c3f1b9eecdc1c884,-5,-2.0
01 06 2020 06:32:28,rail-a295f7e3adb8944c89fd4895a910f03df6ccbfbb33f34feec9d2db4313948d,0,-0.0
02 06 2020 02:15:57,cassowary-bc3e787d8cdc87717b5293d12e1910a8a748fbb59374587dc6a4191d5aa332b2,-3,0.0
31 05 2020 12:57:28,kingfisher-671fcb23557e5316f87df55ce99e19e3a4a7b49fe3bb4e4bce58e08ef47,-3,0.0
01 06 2020 15:31:33,dunlin-665616bdbb2686f7d11a12f6d7149f865a1a94ccf5f4cc0ff61c6ead1869210,-5,-0.0
01 06 2020 15:32:18,dunlin-665616bdbb2686f7d11a12f6d7149f865a1a94ccf5f4cc0ff61c6ead1869210,-5,-0.0
31 05 2020 12:44:22,kingfisher-671fcb23557e5316f87df55ce99e19e3a4a7b49fe3bb4e4bce58e08ef47,-3,0.0
01 06 2020 14:02:20,yak-a11d02e9ce33ecdb7ac0d811d81d6f8a45e0617889bd81e5cdb1c852cdf70,-1,-0.0
01 06 2020 14:22:48,polar-bear-e2262f4a5ff8b627f8c4c6b92b30a2f4c9f6f2f8e7b13903354ea27b31bab,-3,0.0
01 06 2020 08:09:43,mantis-8bd3f3fe2dd8cf4e82c33638707fff9b53519402d53e9bdca5172cb09347ee,2,-1.0
01 06 2020 21:55:19,cod-57adcbcfdc17d5d29d66814279e743815f8316ff4ff7127a6bc923056d08b,-5,-1.0
02 06 2020 12:31:38,beaver-22f3cda47b94699e6c6efaa0b594fcb5a0de322286aa89ddd9bda2e417528e,-2,-0.0
01 06 2020 23:52:23,parrot-2dcb15799daacba36acad690b22e8f52ac277821f120f0716ff764e87ee4fb17,4,-1.0
01 06 2020 21:57:27,cod-57adcbcfdc17d5d29d66814279e743815f8316ff4ff7127a6bc923056d08b,-5,-1.0
01 06 2020 18:47:21,beaver-8f7ebf0c82d37745a859906e2827a1b030141b13c43e6d45ff07defbfa34,-5,-1.0
01 06 2020 15:14:28,water-buffalo-2b122654f909374d39aae55ad5395fbd574833adc97ad2b3696dd596c7cc8b,-3,-3.0
01 06 2020 15:08:57,giant-panda-707ccd3fa83e6f52723c9b769cf51983e1384daea9137c51e6da97bd8ef2,5,1.0
01 06 2020 23:51:05,parrot-2dcb15799daacba36acad690b22e8f52ac277821f120f0716ff764e87ee4fb17,4,-1.0
01 06 2020 16:41:02,okapi-d2b26e74cea2248afce599a7aa44e6fdfef4f6f0a7496d1ef52113c943c547,0,-1.0
01 06 2020 14:39:45,bear-b4f6d61bc13b8e35f3aa9ad583c84796d775aeb9fe2a415ca779be77853d6,2,-1.0
01 06 2020 06:30:02,rail-a295f7e3adb8944c89fd4895a910f03df6ccbfbb33f34feec9d2db4313948d,0,-0.0
02 06 2020 19:56:50,red-deer-1b3efe47382fd39012a6cb4e23c6e4388bea9447e2422c318fe216fefed072e6,-1,-0.0
01 06 2020 14:06:46,yak-a11d02e9ce33ecdb7ac0d811d81d6f8a45e0617889bd81e5cdb1c852cdf70,-1,-0.0
02 06 2020 04:22:18,butterfly-187b35592cbcc0d79cefab253133466396ffdc6799e4de1b3a6aaf8bf11c131f,-4,-2.0
01 06 2020 07:52:01,gorilla-9656461af93687c821113a5bae8de3c4aa1d31a022a44f858e5f9b646a63,-5,-0.0
30 05 2020 09:08:20,mantis-8bd3f3fe2dd8cf4e82c33638707fff9b53519402d53e9bdca5172cb09347ee,2,-1.0
01 06 2020 07:50:46,gorilla-9656461af93687c821113a5bae8de3c4aa1d31a022a44f858e5f9b646a63,-5,-0.0
01 06 2020 09:50:28,locust-c2aff8cd0c48d7ad35c9d4f4d956d77fed4851dce3ef2d2a3ca114ffb8d71,4,0.0
01 06 2020 21:36:01,raccoon-fc3e52a46e86b4559f44acd46e2b90fd51f8a3db3d38a3b0b39aa6d8277fcc,0,0.0
02 06 2020 04:20:03,butterfly-187b35592cbcc0d79cefab253133466396ffdc6799e4de1b3a6aaf8bf11c131f,-4,-2.0
01 06 2020 07:51:16,gorilla-9656461af93687c821113a5bae8de3c4aa1d31a022a44f858e5f9b646a63,-5,-0.0
02 06 2020 12:29:59,beaver-22f3cda47b94699e6c6efaa0b594fcb5a0de322286aa89ddd9bda2e417528e,-2,-0.0
01 06 2020 21:38:54,raccoon-fc3e52a46e86b4559f44acd46e2b90fd51f8a3db3d38a3b0b39aa6d8277fcc,0,0.0
01 06 2020 15:13:15,water-buffalo-2b122654f909374d39aae55ad5395fbd574833adc97ad2b3696dd596c7cc8b,-3,-3.0
01 06 2020 15:32:49,dunlin-665616bdbb2686f7d11a12f6d7149f865a1a94ccf5f4cc0ff61c6ead1869210,-5,-0.0
02 06 2020 20:02:22,red-deer-1b3efe47382fd39012a6cb4e23c6e4388bea9447e2422c318fe216fefed072e6,-1,-0.0
02 06 2020 02:16:52,cassowary-bc3e787d8cdc87717b5293d12e1910a8a748fbb59374587dc6a4191d5aa332b2,-3,0.0
01 06 2020 09:19:46,panther-235130153b45a0349bd9728e1c83e07b33df87c66b1e5e847a2f48fcfa742d,-3,0.0
01 06 2020 16:42:15,okapi-d2b26e74cea2248afce599a7aa44e6fdfef4f6f0a7496d1ef52113c943c547,0,-1.0
01 06 2020 11:28:26,oryx-eb766b2151d930ee815aa8fc92e3bf9a604750628046f79f6d868a952a56c4,1,-0.0
01 06 2020 12:38:09,toad-598b56483b99027a1f5bbaa7bf08da1f8b3abb6327630e2d49ce65b5cceda2,5,-4.0
31 05 2020 11:59:33,fox-b9246c4bdd6d43fcbcdb472da19b6d5f6e430a459b1beb4043464d2f5213,,-1.0
31 05 2020 19:42:56,rail-a295f7e3adb8944c89fd4895a910f03df6ccbfbb33f34feec9d2db4313948d,0,-0.0
01 06 2020 23:05:25,pony-56ca7b93f064db82f179b513ea6e44c63c3fcebed74252c3f1b9eecdc1c884,-5,-2.0
01 06 2020 07:14:12,shark-7d7561cc5e2899b877a74219564b724a50256b359e4a2daec778e989f6c30,4,0.0
01 06 2020 21:36:46,raccoon-fc3e52a46e86b4559f44acd46e2b90fd51f8a3db3d38a3b0b39aa6d8277fcc,0,0.0
01 06 2020 23:04:45,pony-56ca7b93f064db82f179b513ea6e44c63c3fcebed74252c3f1b9eecdc1c884,-5,-2.0
31 05 2020 12:05:30,eagle-848c27680ceeb864b34c0952b60187b5c84bcb392efefdcbdd8225c7ca9ccf,3,-2.0
31 05 2020 19:16:43,rail-a295f7e3adb8944c89fd4895a910f03df6ccbfbb33f34feec9d2db4313948d,0,-0.0
02 06 2020 17:22:21,eagle-848c27680ceeb864b34c0952b60187b5c84bcb392efefdcbdd8225c7ca9ccf,3,-2.0
31 05 2020 11:28:51,emu-7144c5ee9191f44d479285b725389579aacf58192fb2b428fe1b57eb416149,-1,-1.0
01 06 2020 16:40:19,okapi-d2b26e74cea2248afce599a7aa44e6fdfef4f6f0a7496d1ef52113c943c547,0,-1.0
01 06 2020 13:22:03,yak-45b1a973b90fc6dc084abfa52ae1145bcc123356f6e5263ab29cf74c970bbe6,-3,-1.0
02 06 2020 02:16:42,cassowary-bc3e787d8cdc87717b5293d12e1910a8a748fbb59374587dc6a4191d5aa332b2,-3,0.0
01 06 2020 18:48:44,beaver-8f7ebf0c82d37745a859906e2827a1b030141b13c43e6d45ff07defbfa34,-5,-1.0
01 06 2020 15:12:24,water-buffalo-2b122654f909374d39aae55ad5395fbd574833adc97ad2b3696dd596c7cc8b,-3,-3.0
19 06 2020 03:56:31,eagle-848c27680ceeb864b34c0952b60187b5c84bcb392efefdcbdd8225c7ca9ccf,3,-2.0
01 06 2020 14:28:39,polar-bear-e2262f4a5ff8b627f8c4c6b92b30a2f4c9f6f2f8e7b13903354ea27b31bab,-3,0.0
01 06 2020 18:48:07,beaver-8f7ebf0c82d37745a859906e2827a1b030141b13c43e6d45ff07defbfa34,-5,-1.0
